name,market_cap,url,symbol,price_btc,circulating_supply,price_usd
Bitcoin,158225322562.0,https://coinmarketcap.com/currencies/bitcoin/,BTC,1.0,17025375.0,9293.5
Ethereum,75206668654.1,https://coinmarketcap.com/currencies/ethereum/,ETH,0.0815549,99342270.6865,757.046
Ripple,31249676742.9,https://coinmarketcap.com/currencies/ripple/,XRP,8.59268e-05,39178259468.0,0.797628
Bitcoin Cash,28053669029.0,https://coinmarketcap.com/currencies/bitcoin-cash/,BCH,0.176532,17119675.0,1638.68
EOS,15258938237.5,https://coinmarketcap.com/currencies/eos/,EOS,0.00194157,846641674.619,18.0229
Litecoin,8955118172.59,https://coinmarketcap.com/currencies/litecoin/,LTC,0.0170853,56464612.6509,158.597
Cardano,8245534389.06,https://coinmarketcap.com/currencies/cardano/,ADA,3.42605e-05,25927070538.0,0.318028
Stellar,6978871313.25,https://coinmarketcap.com/currencies/stellar/,XLM,4.04722e-05,18576143398.1,0.37569
IOTA,6290688527.09,https://coinmarketcap.com/currencies/iota/,MIOTA,0.000243812,2779530283.0,2.26322
TRON,5271249654.17,https://coinmarketcap.com/currencies/tron/,TRX,8.6369e-06,65748111645.1,0.0801734
NEO,4905582500.0,https://coinmarketcap.com/currencies/neo/,NEO,0.00813027,65000000.0,75.4705
Monero,3659458917.46,https://coinmarketcap.com/currencies/monero/,XMR,0.0246148,16015768.3124,228.491
Dash,3613415496.16,https://coinmarketcap.com/currencies/dash/,DASH,0.0482815,8062420.22437,448.18
NEM,3385250999.62,https://coinmarketcap.com/currencies/nem/,XEM,4.05207e-05,8999999999.0,0.376139
VeChain,2695001685.07,https://coinmarketcap.com/currencies/vechain/,VEN,0.000552058,525899137.697,5.12456
Ethereum Classic,2167379669.27,https://coinmarketcap.com/currencies/ethereum-classic/,ETC,0.0022978,101613228.0,21.3297
Tether,2105530957.94,https://coinmarketcap.com/currencies/tether/,USDT,0.000107645,2107140813.52,0.999236
Qtum,1764417386.75,https://coinmarketcap.com/currencies/qtum/,QTUM,0.00214572,88584064.0,19.918
OmiseGO,1644762666.34,https://coinmarketcap.com/currencies/omisego/,OMG,0.00173639,102042551.763,16.1184
ICON,1632687406.81,https://coinmarketcap.com/currencies/icon/,ICX,0.000454214,387231348.457,4.21631
Binance Coin,1626422667.15,https://coinmarketcap.com/currencies/binance-coin/,BNB,0.00153638,114041290.11,14.2617
Zilliqa,1395373057.27,https://coinmarketcap.com/currencies/zilliqa/,ZIL,2.06287e-05,7286961952.24,0.191489
Lisk,1239564847.45,https://coinmarketcap.com/currencies/lisk/,LSK,0.00126297,105731539.313,11.7237
Bitcoin Gold,1168491089.23,https://coinmarketcap.com/currencies/bitcoin-gold/,BTG,0.00740685,16994948.589,68.7552
Verge,1121018402.14,https://coinmarketcap.com/currencies/verge/,XVG,8.06299e-06,14977666169.7,0.074846
Aeternity,1115168403.6,https://coinmarketcap.com/currencies/aeternity/,AE,0.000515555,233020472.114,4.78571
Zcash,1070567425.28,https://coinmarketcap.com/currencies/zcash/,ZEC,0.0296967,3883581.25,275.665
Nano,1012988139.08,https://coinmarketcap.com/currencies/nano/,NANO,0.000818975,133248289.204,7.60226
Ontology,985319327.585,https://coinmarketcap.com/currencies/ontology/,ONT,0.000942473,112625170.893,8.74866
0x,929121343.299,https://coinmarketcap.com/currencies/0x/,ZRX,0.000189621,527855868.888,1.76018
Siacoin,869060185.877,https://coinmarketcap.com/currencies/siacoin/,SC,2.72708e-06,34330393760.0,0.0253146
Steem,866495212.642,https://coinmarketcap.com/currencies/steem/,STEEM,0.0003661,254973020.275,3.39838
Wanchain,829036106.138,https://coinmarketcap.com/currencies/wanchain/,WAN,0.00084134,106152492.636,7.80986
BitShares,791767787.04,https://coinmarketcap.com/currencies/bitshares/,BTS,3.25168e-05,2623120000.0,0.301842
Bytom,760555551.0,https://coinmarketcap.com/currencies/bytom/,BTM,8.30121e-05,987000000.0,0.770573
Bitcoin Diamond,725500834.241,https://coinmarketcap.com/currencies/bitcoin-diamond/,BCD,0.000509011,153546125.0,4.72497
Populous,712375622.952,https://coinmarketcap.com/currencies/populous/,PPT,0.00207389,37004026.8944,19.2513
Stratis,691064945.647,https://coinmarketcap.com/currencies/stratis/,STRAT,0.000753134,98849526.203,6.99108
Waves,661859000.0,https://coinmarketcap.com/currencies/waves/,WAVES,0.000713006,100000000.0,6.61859
RChain,658113443.92,https://coinmarketcap.com/currencies/rchain/,RHOC,0.000196876,360108913.578,1.82754
Maker,628669637.143,https://coinmarketcap.com/currencies/maker/,MKR,0.109548,618227.770106,1016.89
IOStoken,626052000.0,https://coinmarketcap.com/currencies/iostoken/,IOST,8.02895e-06,8400000000.0,0.07453
Bitcoin Private,611712313.055,https://coinmarketcap.com/currencies/bitcoin-private/,BTCP,0.00322574,20428953.0599,29.9434
Decred,607707562.128,https://coinmarketcap.com/currencies/decred/,DCR,0.00916168,7145742.91082,85.0447
Dogecoin,578602871.37,https://coinmarketcap.com/currencies/dogecoin/,DOGE,5.4497e-07,114376196461.0,0.00505877
Golem,572487269.64,https://coinmarketcap.com/currencies/golem-network-tokens/,GNT,7.39249e-05,834262000.0,0.68622
Status,539705345.323,https://coinmarketcap.com/currencies/status/,SNT,1.67531e-05,3470483788.0,0.155513
Augur,534656100.0,https://coinmarketcap.com/currencies/augur/,REP,0.00523612,11000000.0,48.6051
Hshare,493850819.847,https://coinmarketcap.com/currencies/hshare/,HSR,0.00123823,42965592.7691,11.4941
DigiByte,479637872.839,https://coinmarketcap.com/currencies/digibyte/,DGB,5.05044e-06,10230855941.9,0.0468815
Loopring,466002934.569,https://coinmarketcap.com/currencies/loopring/,LRC,8.77534e-05,572074043.309,0.814585
Waltonchain,463987907.43,https://coinmarketcap.com/currencies/waltonchain/,WTC,0.00160493,31144099.4107,14.8981
DigixDAO,458876000.0,https://coinmarketcap.com/currencies/digixdao/,DGD,0.0247169,2000000.0,229.438
Mixin,440049399.786,https://coinmarketcap.com/currencies/mixin/,XIN,0.112348,421951.883502,1042.89
Nebulas,422486610.0,https://coinmarketcap.com/currencies/nebulas-token/,NAS,0.0010003,45500000.0,9.28542
Aion,407236660.899,https://coinmarketcap.com/currencies/aion/,AION,0.000329673,133073438.978,3.06024
aelf,403332500.0,https://coinmarketcap.com/currencies/aelf/,ELF,0.000173801,250000000.0,1.61333
Basic Attention Token,382129000.0,https://coinmarketcap.com/currencies/basic-attention-token/,BAT,4.11659e-05,1000000000.0,0.382129
Ardor,366224223.872,https://coinmarketcap.com/currencies/ardor/,ARDR,3.9492e-05,998999495.0,0.366591
Dentacoin,356246727.451,https://coinmarketcap.com/currencies/dentacoin/,DCN,1.18002e-07,325226613094.0,0.00109538
Komodo,354309643.8,https://coinmarketcap.com/currencies/komodo/,KMD,0.0003668,104059362.973,3.40488
WaykiChain,344486952.0,https://coinmarketcap.com/currencies/waykichain/,WICC,0.000258792,143400000.0,2.40228
Mithril,340530008.764,https://coinmarketcap.com/currencies/mithril/,MITH,0.00011974,306367022.126,1.11151
